Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Shaiiko,BDS,22,7,1,15,2,14,0,84,22,3.8181818181818183
Brid,BDS,10,5,3,13,0,14,4,72,22,3.272727272727273
Likefac,BDS,12,7,2,17,3,14,0,28,22,1.2727272727272727
Solotov,BDS,21,9,5,16,4,14,0,78,22,3.5454545454545454
Yuzus,BDS,17,10,1,13,1,14,0,64,22,2.909090909090909
Azzr,ITB,0,0,0,0,0,0,0,0,0,0
Kendrew,ITB,0,0,0,0,0,0,0,0,0,0
Noa,ITB,0,0,0,0,0,0,0,0,0,0
Creedz,ITB,0,0,0,0,0,0,0,0,0,0
Oscr,ITB,0,0,0,0,0,0,0,0,0,0
Savage,Secret,0,0,0,0,0,0,0,0,0,0
Gruby,Secret,0,0,0,0,0,0,0,0,0,0
Miracle,Secret,0,0,0,0,0,0,0,0,0,0
Jume,Secret,0,0,0,0,0,0,0,0,0,0
Adrian,Secret,0,0,0,0,0,0,0,0,0,0
Dfuzr,Beastcoast,20,4,2,16,5,14,1,78,22,3.5454545454545454
Gaveni,Beastcoast,19,6,1,14,2,14,0,73,22,3.3181818181818183
Gunnar,Beastcoast,14,6,3,17,1,14,0,45,22,2.0454545454545454
Hotan,Beastcoast,13,6,2,16,1,14,0,41,22,1.8636363636363635
Spiritz,Beastcoast,15,8,1,15,4,14,1,52,22,2.3636363636363638
Spoit,M80,0,0,0,0,0,0,0,0,0,0
Ctzn,M80,0,0,0,0,0,0,0,0,0,0
Cameraman,M80,0,0,0,0,0,0,0,0,0,0
Kyno,M80,0,0,0,0,0,0,0,0,0,0
Nudl,M80,0,0,0,0,0,0,0,0,0,0
Njr,DarkZero,20,8,2,13,1,8,0,71,22,3.227272727272727
Panba,DarkZero,15,3,3,18,2,8,1,44,22,2.0
Canadian,DarkZero,8,5,2,17,4,8,2,12,22,0.5454545454545454
Beaulo,DarkZero,12,7,2,18,3,8,0,13,22,0.5909090909090909
Nafe,DarkZero,19,11,1,16,2,8,1,58,22,2.6363636363636362
Cyber,FaZe,0,0,0,0,0,0,0,0,0,0
Soulz,FaZe,0,0,0,0,0,0,0,0,0,0
Vitaking,FaZe,0,0,0,0,0,0,0,0,0,0
Handy,FaZe,0,0,0,0,0,0,0,0,0,0
Kds,FaZe,0,0,0,0,0,0,0,0,0,0
Arthur,E1,0,0,0,0,0,0,0,0,0,0
Flastry,E1,0,0,0,0,0,0,0,0,0,0
Emptz,E1,0,0,0,0,0,0,0,0,0,0
Peres,E1,0,0,0,0,0,0,0,0,0,0
Stk,E1,0,0,0,0,0,0,0,0,0,0
Felipox,Furia,0,0,0,0,0,0,0,0,0,0
Herdz,Furia,0,0,0,0,0,0,0,0,0,0
Jv92,Furia,0,0,0,0,0,0,0,0,0,0
Kheyze,Furia,0,0,0,0,0,0,0,0,0,0
Nade,Furia,0,0,0,0,0,0,0,0,0,0
Fishlike,Scarz,0,0,0,0,0,0,0,0,0,0
Taiyou,Scarz,0,0,0,0,0,0,0,0,0,0
Washoy,Scarz,0,0,0,0,0,0,0,0,0,0
Rec,Scarz,0,0,0,0,0,0,0,0,0,0
Nina,Scarz,0,0,0,0,0,0,0,0,0,0
Misa,Talon,0,0,0,0,0,0,0,0,0,0
Royboy,Talon,0,0,0,0,0,0,0,0,0,0
Jlt,Talon,0,0,0,0,0,0,0,0,0,0
Rider,Talon,0,0,0,0,0,0,0,0,0,0
Soldier,Talon,0,0,0,0,0,0,0,0,0,0
Odah,Bliss,0,0,0,0,0,0,0,0,0,0
Fishoguy,Bliss,0,0,0,0,0,0,0,0,0,0
Brendo,Bliss,0,0,0,0,0,0,0,0,0,0
Sageon,Bliss,0,0,0,0,0,0,0,0,0,0
Wettables,Bliss,0,0,0,0,0,0,0,0,0,0
Virtue,G2,0,0,0,0,0,0,0,0,0,0
Alemao,G2,0,0,0,0,0,0,0,0,0,0
Doki,G2,0,0,0,0,0,0,0,0,0,0
Benja,G2,0,0,0,0,0,0,0,0,0,0
Uuno,G2,0,0,0,0,0,0,0,0,0,0
Fultz,SSG,0,0,0,0,0,0,0,0,0,0
Forrest,SSG,0,0,0,0,0,0,0,0,0,0
J90,SSG,0,0,0,0,0,0,0,0,0,0
Ashn,SSG,0,0,0,0,0,0,0,0,0,0
Iconic,SSG,0,0,0,0,0,0,0,0,0,0
Nesk,Liquid,19,8,4,18,1,8,0,55,22,2.5
Paluh,Liquid,15,7,5,16,4,8,0,38,22,1.7272727272727273
Resetz,Liquid,12,4,1,15,1,8,0,27,22,1.2272727272727273
Lagonis,Liquid,18,6,1,14,0,8,1,68,22,3.090909090909091
Maia,Liquid,14,5,2,18,3,8,0,25,22,1.1363636363636365
Anitun,Cyclops,0,0,0,0,0,0,0,0,0,0
Blackray,Cyclops,0,0,0,0,0,0,0,0,0,0
Chibisu,Cyclops,0,0,0,0,0,0,0,0,0,0
Shureap,Cyclops,0,0,0,0,0,0,0,0,0,0
Sironeko,Cyclops,0,0,0,0,0,0,0,0,0,0
Goodboy,FearX,0,0,0,0,0,0,0,0,0,0
Mephi,FearX,0,0,0,0,0,0,0,0,0,0
Demic,FearX,0,0,0,0,0,0,0,0,0,0
Nova,FearX,0,0,0,0,0,0,0,0,0,0
